x,y,error_x,error_y
0.8007472347949558,-3.0406395476882793,0.04,0.04
0.9787287644694806,-2.9290750065028206,0.04,0.04
1.0837178981062277,-2.990368993689556,0.04,0.04
1.3399940864876076,-2.9683296277249536,0.04,0.04
1.4772211091792595,-3.0469166625712067,0.04,0.04
1.7365281676680124,-2.9462566040405567,0.04,0.04
1.8648309949619006,-3.014673959032019,0.04,0.04
2.1056422652570306,-2.9843961588283903,0.04,0.04
2.1959025074791056,-3.0207020817060806,0.04,0.04
2.3785643811644257,-2.9515193962692763,0.04,0.04
2.5761397163574955,-2.9299104508385088,0.04,0.04
2.7783059094663702,-2.899738757415407,0.04,0.04
2.9281345958704663,-2.842176525697189,0.04,0.04
3.022759168866591,-2.8205472656984516,0.04,0.04
3.2428509845348223,-2.7431002043815194,0.04,0.04
3.396364439433616,-2.75603649751088,0.04,0.04
3.534434365881384,-2.7284279822726805,0.04,0.04
3.6776637140927146,-2.6368254138516685,0.04,0.04
3.9210440987438373,-2.5547026661727332,0.04,0.04
3.978343748180471,-2.470243590510953,0.04,0.04
4.097917998273737,-2.424200367785387,0.04,0.04
4.289735109259956,-2.4607663271265947,0.04,0.04
4.396404374400055,-2.305255493448694,0.04,0.04
4.509253309362206,-2.189050326150519,0.04,0.04
4.6585780023141385,-2.169174509435347,0.04,0.04
4.755612994135498,-2.1137692550491223,0.04,0.04
4.852780614923254,-1.999606925086908,0.04,0.04
4.972363193783121,-1.948508089661838,0.04,0.04
5.033727584380343,-1.8169465308044355,0.04,0.04
5.0791985936460575,-1.755064004916933,0.04,0.04
5.1636198010690135,-1.6089350644387723,0.04,0.04
5.224100589146776,-1.5530445030393172,0.04,0.04
5.312614947459679,-1.5087927750887116,0.04,0.04
5.312732047013385,-1.3610958088913472,0.04,0.04
5.326414610058151,-1.2521055866946478,0.04,0.04
5.439244551378454,-1.2155634027487918,0.04,0.04
5.41033822507351,-1.112344960898648,0.04,0.04
5.405818052039151,-1.0894138105316025,0.04,0.04
5.510905497517927,-0.862566387212516,0.04,0.04
